item,Unique Visitors,Visits,Page Views,Bounces,Time Spent on Page (min),e89 Video Views,e17 Form Success,Form Submission Rate,Total Weekly Unique Visitors,Entries,Total Time Spent,Account Number,Date,Granularity
,,,,,,,,,,,,ISP Visitor,Mon.  1 Jan. 2018,day
,,,,,,,,,,,,Not In List,Mon.  1 Jan. 2018,day
,,,,,,,,,,,,::unspecified::,Mon.  1 Jan. 2018,day
,,,,,,,,,,,,ACCT0065581,Mon.  1 Jan. 2018,day
,,,,,,,,,,,,ACCT0071663,Mon.  1 Jan. 2018,day
,,,,,,,,,,,,ACCT0048703,Mon.  1 Jan. 2018,day
,,,,,,,,,,,,ACCT0022476,Mon.  1 Jan. 2018,day
,,,,,,,,,,,,ACCT0106566,Mon.  1 Jan. 2018,day
,,,,,,,,,,,,ACCT0087337,Mon.  1 Jan. 2018,day
,,,,,,,,,,,,ACCT0087467,Mon.  1 Jan. 2018,day
,,,,,,,,,,,,ISP Visitor,Tue.  2 Jan. 2018,day
,,,,,,,,,,,,Not In List,Tue.  2 Jan. 2018,day
www.servicenow.com/success.do,1,1,1,1,0,0,0,0,1,1,0,::unspecified::,Tue.  2 Jan. 2018,day
,,,,,,,,,,,,ACCT0065581,Tue.  2 Jan. 2018,day
,,,,,,,,,,,,ACCT0071663,Tue.  2 Jan. 2018,day
,,,,,,,,,,,,ACCT0048703,Tue.  2 Jan. 2018,day
,,,,,,,,,,,,ACCT0022476,Tue.  2 Jan. 2018,day
,,,,,,,,,,,,ACCT0106566,Tue.  2 Jan. 2018,day
,,,,,,,,,,,,ACCT0087337,Tue.  2 Jan. 2018,day
,,,,,,,,,,,,ACCT0087467,Tue.  2 Jan. 2018,day
,,,,,,,,,,,,ISP Visitor,Wed.  3 Jan. 2018,day
,,,,,,,,,,,,Not In List,Wed.  3 Jan. 2018,day
,,,,,,,,,,,,::unspecified::,Wed.  3 Jan. 2018,day
,,,,,,,,,,,,ACCT0065581,Wed.  3 Jan. 2018,day
,,,,,,,,,,,,ACCT0071663,Wed.  3 Jan. 2018,day
,,,,,,,,,,,,ACCT0048703,Wed.  3 Jan. 2018,day
,,,,,,,,,,,,ACCT0022476,Wed.  3 Jan. 2018,day
,,,,,,,,,,,,ACCT0106566,Wed.  3 Jan. 2018,day
,,,,,,,,,,,,ACCT0087337,Wed.  3 Jan. 2018,day
,,,,,,,,,,,,ACCT0087467,Wed.  3 Jan. 2018,day
,,,,,,,,,,,,ISP Visitor,Thu.  4 Jan. 2018,day
,,,,,,,,,,,,Not In List,Thu.  4 Jan. 2018,day
,,,,,,,,,,,,::unspecified::,Thu.  4 Jan. 2018,day
,,,,,,,,,,,,ACCT0065581,Thu.  4 Jan. 2018,day
,,,,,,,,,,,,ACCT0071663,Thu.  4 Jan. 2018,day
,,,,,,,,,,,,ACCT0048703,Thu.  4 Jan. 2018,day
,,,,,,,,,,,,ACCT0022476,Thu.  4 Jan. 2018,day
,,,,,,,,,,,,ACCT0106566,Thu.  4 Jan. 2018,day
,,,,,,,,,,,,ACCT0087337,Thu.  4 Jan. 2018,day
,,,,,,,,,,,,ACCT0087467,Thu.  4 Jan. 2018,day
,,,,,,,,,,,,ISP Visitor,Fri.  5 Jan. 2018,day
,,,,,,,,,,,,Not In List,Fri.  5 Jan. 2018,day
,,,,,,,,,,,,::unspecified::,Fri.  5 Jan. 2018,day
,,,,,,,,,,,,ACCT0065581,Fri.  5 Jan. 2018,day
,,,,,,,,,,,,ACCT0071663,Fri.  5 Jan. 2018,day
,,,,,,,,,,,,ACCT0048703,Fri.  5 Jan. 2018,day
,,,,,,,,,,,,ACCT0022476,Fri.  5 Jan. 2018,day
,,,,,,,,,,,,ACCT0106566,Fri.  5 Jan. 2018,day
,,,,,,,,,,,,ACCT0087337,Fri.  5 Jan. 2018,day
,,,,,,,,,,,,ACCT0087467,Fri.  5 Jan. 2018,day
,,,,,,,,,,,,ISP Visitor,Sat.  6 Jan. 2018,day
,,,,,,,,,,,,Not In List,Sat.  6 Jan. 2018,day
,,,,,,,,,,,,::unspecified::,Sat.  6 Jan. 2018,day
,,,,,,,,,,,,ACCT0065581,Sat.  6 Jan. 2018,day
,,,,,,,,,,,,ACCT0071663,Sat.  6 Jan. 2018,day
,,,,,,,,,,,,ACCT0048703,Sat.  6 Jan. 2018,day
,,,,,,,,,,,,ACCT0022476,Sat.  6 Jan. 2018,day
,,,,,,,,,,,,ACCT0106566,Sat.  6 Jan. 2018,day
,,,,,,,,,,,,ACCT0087337,Sat.  6 Jan. 2018,day
,,,,,,,,,,,,ACCT0087467,Sat.  6 Jan. 2018,day
,,,,,,,,,,,,ISP Visitor,Sun.  7 Jan. 2018,day
,,,,,,,,,,,,Not In List,Sun.  7 Jan. 2018,day
,,,,,,,,,,,,::unspecified::,Sun.  7 Jan. 2018,day
,,,,,,,,,,,,ACCT0065581,Sun.  7 Jan. 2018,day
,,,,,,,,,,,,ACCT0071663,Sun.  7 Jan. 2018,day
,,,,,,,,,,,,ACCT0048703,Sun.  7 Jan. 2018,day
,,,,,,,,,,,,ACCT0022476,Sun.  7 Jan. 2018,day
,,,,,,,,,,,,ACCT0106566,Sun.  7 Jan. 2018,day
,,,,,,,,,,,,ACCT0087337,Sun.  7 Jan. 2018,day
,,,,,,,,,,,,ACCT0087467,Sun.  7 Jan. 2018,day
,,,,,,,,,,,,ISP Visitor,Mon.  8 Jan. 2018,day
,,,,,,,,,,,,Not In List,Mon.  8 Jan. 2018,day
www.servicenow.com/success.html,1,1,1,0,0.05,0,0,0,1,1,3,::unspecified::,Mon.  8 Jan. 2018,day
,,,,,,,,,,,,ACCT0065581,Mon.  8 Jan. 2018,day
,,,,,,,,,,,,ACCT0071663,Mon.  8 Jan. 2018,day
,,,,,,,,,,,,ACCT0048703,Mon.  8 Jan. 2018,day
