item,Unique Visitors,Visits,Page Views,Bounces,Time Spent on Page (min),e89 Video Views,e17 Form Success,Form Submission Rate,Total Weekly Unique Visitors,Entries,Total Time Spent,Account Number,Date,Granularity
,,,,,,,,,,,,ISP Visitor,Mon.  1 Jan. 2018,day
,,,,,,,,,,,,Not In List,Mon.  1 Jan. 2018,day
,,,,,,,,,,,,::unspecified::,Mon.  1 Jan. 2018,day
,,,,,,,,,,,,ACCT0004149,Mon.  1 Jan. 2018,day
,,,,,,,,,,,,ACCT0026735,Mon.  1 Jan. 2018,day
,,,,,,,,,,,,ACCT0024473,Mon.  1 Jan. 2018,day
,,,,,,,,,,,,ACCT0000119,Mon.  1 Jan. 2018,day
,,,,,,,,,,,,ACCT0007072,Mon.  1 Jan. 2018,day
,,,,,,,,,,,,ACCT0021217,Mon.  1 Jan. 2018,day
,,,,,,,,,,,,ACCT0024543,Mon.  1 Jan. 2018,day
,,,,,,,,,,,,ISP Visitor,Tue.  2 Jan. 2018,day
,,,,,,,,,,,,Not In List,Tue.  2 Jan. 2018,day
www.servicenow.com/success.do,1,1,1,1,0,0,0,0,1,1,0,::unspecified::,Tue.  2 Jan. 2018,day
,,,,,,,,,,,,ACCT0004149,Tue.  2 Jan. 2018,day
,,,,,,,,,,,,ACCT0026735,Tue.  2 Jan. 2018,day
,,,,,,,,,,,,ACCT0024473,Tue.  2 Jan. 2018,day
,,,,,,,,,,,,ACCT0000119,Tue.  2 Jan. 2018,day
,,,,,,,,,,,,ACCT0007072,Tue.  2 Jan. 2018,day
,,,,,,,,,,,,ACCT0021217,Tue.  2 Jan. 2018,day
,,,,,,,,,,,,ACCT0024543,Tue.  2 Jan. 2018,day
,,,,,,,,,,,,ISP Visitor,Wed.  3 Jan. 2018,day
,,,,,,,,,,,,Not In List,Wed.  3 Jan. 2018,day
,,,,,,,,,,,,::unspecified::,Wed.  3 Jan. 2018,day
,,,,,,,,,,,,ACCT0004149,Wed.  3 Jan. 2018,day
,,,,,,,,,,,,ACCT0026735,Wed.  3 Jan. 2018,day
,,,,,,,,,,,,ACCT0024473,Wed.  3 Jan. 2018,day
,,,,,,,,,,,,ACCT0000119,Wed.  3 Jan. 2018,day
,,,,,,,,,,,,ACCT0007072,Wed.  3 Jan. 2018,day
,,,,,,,,,,,,ACCT0021217,Wed.  3 Jan. 2018,day
,,,,,,,,,,,,ACCT0024543,Wed.  3 Jan. 2018,day
,,,,,,,,,,,,ISP Visitor,Thu.  4 Jan. 2018,day
,,,,,,,,,,,,Not In List,Thu.  4 Jan. 2018,day
,,,,,,,,,,,,::unspecified::,Thu.  4 Jan. 2018,day
,,,,,,,,,,,,ACCT0004149,Thu.  4 Jan. 2018,day
,,,,,,,,,,,,ACCT0026735,Thu.  4 Jan. 2018,day
,,,,,,,,,,,,ACCT0024473,Thu.  4 Jan. 2018,day
,,,,,,,,,,,,ACCT0000119,Thu.  4 Jan. 2018,day
,,,,,,,,,,,,ACCT0007072,Thu.  4 Jan. 2018,day
,,,,,,,,,,,,ACCT0021217,Thu.  4 Jan. 2018,day
,,,,,,,,,,,,ACCT0024543,Thu.  4 Jan. 2018,day
,,,,,,,,,,,,ISP Visitor,Fri.  5 Jan. 2018,day
,,,,,,,,,,,,Not In List,Fri.  5 Jan. 2018,day
,,,,,,,,,,,,::unspecified::,Fri.  5 Jan. 2018,day
,,,,,,,,,,,,ACCT0004149,Fri.  5 Jan. 2018,day
,,,,,,,,,,,,ACCT0026735,Fri.  5 Jan. 2018,day
,,,,,,,,,,,,ACCT0024473,Fri.  5 Jan. 2018,day
,,,,,,,,,,,,ACCT0000119,Fri.  5 Jan. 2018,day
,,,,,,,,,,,,ACCT0007072,Fri.  5 Jan. 2018,day
,,,,,,,,,,,,ACCT0021217,Fri.  5 Jan. 2018,day
,,,,,,,,,,,,ACCT0024543,Fri.  5 Jan. 2018,day
,,,,,,,,,,,,ISP Visitor,Sat.  6 Jan. 2018,day
,,,,,,,,,,,,Not In List,Sat.  6 Jan. 2018,day
,,,,,,,,,,,,::unspecified::,Sat.  6 Jan. 2018,day
,,,,,,,,,,,,ACCT0004149,Sat.  6 Jan. 2018,day
,,,,,,,,,,,,ACCT0026735,Sat.  6 Jan. 2018,day
,,,,,,,,,,,,ACCT0024473,Sat.  6 Jan. 2018,day
,,,,,,,,,,,,ACCT0000119,Sat.  6 Jan. 2018,day
,,,,,,,,,,,,ACCT0007072,Sat.  6 Jan. 2018,day
,,,,,,,,,,,,ACCT0021217,Sat.  6 Jan. 2018,day
,,,,,,,,,,,,ACCT0024543,Sat.  6 Jan. 2018,day
,,,,,,,,,,,,ISP Visitor,Sun.  7 Jan. 2018,day
,,,,,,,,,,,,Not In List,Sun.  7 Jan. 2018,day
,,,,,,,,,,,,::unspecified::,Sun.  7 Jan. 2018,day
,,,,,,,,,,,,ACCT0004149,Sun.  7 Jan. 2018,day
,,,,,,,,,,,,ACCT0026735,Sun.  7 Jan. 2018,day
,,,,,,,,,,,,ACCT0024473,Sun.  7 Jan. 2018,day
,,,,,,,,,,,,ACCT0000119,Sun.  7 Jan. 2018,day
,,,,,,,,,,,,ACCT0007072,Sun.  7 Jan. 2018,day
,,,,,,,,,,,,ACCT0021217,Sun.  7 Jan. 2018,day
,,,,,,,,,,,,ACCT0024543,Sun.  7 Jan. 2018,day
,,,,,,,,,,,,ISP Visitor,Mon.  8 Jan. 2018,day
,,,,,,,,,,,,Not In List,Mon.  8 Jan. 2018,day
www.servicenow.com/success.html,1,1,1,0,0.05,0,0,0,1,1,3,::unspecified::,Mon.  8 Jan. 2018,day
,,,,,,,,,,,,ACCT0004149,Mon.  8 Jan. 2018,day
,,,,,,,,,,,,ACCT0026735,Mon.  8 Jan. 2018,day
,,,,,,,,,,,,ACCT0024473,Mon.  8 Jan. 2018,day
