item,Unique Visitors,Visits,Page Views,Bounces,Time Spent on Page (min),e89 Video Views,e17 Form Success,Form Submission Rate,Total Weekly Unique Visitors,Entries,Total Time Spent,Account Number,Date,Granularity
,,,,,,,,,,,,ISP Visitor,Mon.  1 Jan. 2018,day
,,,,,,,,,,,,Not In List,Mon.  1 Jan. 2018,day
,,,,,,,,,,,,::unspecified::,Mon.  1 Jan. 2018,day
,,,,,,,,,,,,ACCT0106566,Mon.  1 Jan. 2018,day
,,,,,,,,,,,,ACCT0080490,Mon.  1 Jan. 2018,day
,,,,,,,,,,,,ACCT0065581,Mon.  1 Jan. 2018,day
,,,,,,,,,,,,ACCT0000737,Mon.  1 Jan. 2018,day
,,,,,,,,,,,,ACCT0004149,Mon.  1 Jan. 2018,day
,,,,,,,,,,,,ACCT0047511,Mon.  1 Jan. 2018,day
,,,,,,,,,,,,ACCT0009231,Mon.  1 Jan. 2018,day
,,,,,,,,,,,,ISP Visitor,Tue.  2 Jan. 2018,day
,,,,,,,,,,,,Not In List,Tue.  2 Jan. 2018,day
www.servicenow.com/success.do,1,1,1,1,0,0,0,0,1,1,0,::unspecified::,Tue.  2 Jan. 2018,day
,,,,,,,,,,,,ACCT0106566,Tue.  2 Jan. 2018,day
,,,,,,,,,,,,ACCT0080490,Tue.  2 Jan. 2018,day
,,,,,,,,,,,,ACCT0065581,Tue.  2 Jan. 2018,day
,,,,,,,,,,,,ACCT0000737,Tue.  2 Jan. 2018,day
,,,,,,,,,,,,ACCT0004149,Tue.  2 Jan. 2018,day
,,,,,,,,,,,,ACCT0047511,Tue.  2 Jan. 2018,day
,,,,,,,,,,,,ACCT0009231,Tue.  2 Jan. 2018,day
,,,,,,,,,,,,ISP Visitor,Wed.  3 Jan. 2018,day
,,,,,,,,,,,,Not In List,Wed.  3 Jan. 2018,day
,,,,,,,,,,,,::unspecified::,Wed.  3 Jan. 2018,day
,,,,,,,,,,,,ACCT0106566,Wed.  3 Jan. 2018,day
,,,,,,,,,,,,ACCT0080490,Wed.  3 Jan. 2018,day
,,,,,,,,,,,,ACCT0065581,Wed.  3 Jan. 2018,day
,,,,,,,,,,,,ACCT0000737,Wed.  3 Jan. 2018,day
,,,,,,,,,,,,ACCT0004149,Wed.  3 Jan. 2018,day
,,,,,,,,,,,,ACCT0047511,Wed.  3 Jan. 2018,day
,,,,,,,,,,,,ACCT0009231,Wed.  3 Jan. 2018,day
,,,,,,,,,,,,ISP Visitor,Thu.  4 Jan. 2018,day
,,,,,,,,,,,,Not In List,Thu.  4 Jan. 2018,day
,,,,,,,,,,,,::unspecified::,Thu.  4 Jan. 2018,day
,,,,,,,,,,,,ACCT0106566,Thu.  4 Jan. 2018,day
,,,,,,,,,,,,ACCT0080490,Thu.  4 Jan. 2018,day
,,,,,,,,,,,,ACCT0065581,Thu.  4 Jan. 2018,day
,,,,,,,,,,,,ACCT0000737,Thu.  4 Jan. 2018,day
,,,,,,,,,,,,ACCT0004149,Thu.  4 Jan. 2018,day
,,,,,,,,,,,,ACCT0047511,Thu.  4 Jan. 2018,day
,,,,,,,,,,,,ACCT0009231,Thu.  4 Jan. 2018,day
,,,,,,,,,,,,ISP Visitor,Fri.  5 Jan. 2018,day
,,,,,,,,,,,,Not In List,Fri.  5 Jan. 2018,day
,,,,,,,,,,,,::unspecified::,Fri.  5 Jan. 2018,day
,,,,,,,,,,,,ACCT0106566,Fri.  5 Jan. 2018,day
,,,,,,,,,,,,ACCT0080490,Fri.  5 Jan. 2018,day
,,,,,,,,,,,,ACCT0065581,Fri.  5 Jan. 2018,day
,,,,,,,,,,,,ACCT0000737,Fri.  5 Jan. 2018,day
,,,,,,,,,,,,ACCT0004149,Fri.  5 Jan. 2018,day
,,,,,,,,,,,,ACCT0047511,Fri.  5 Jan. 2018,day
,,,,,,,,,,,,ACCT0009231,Fri.  5 Jan. 2018,day
,,,,,,,,,,,,ISP Visitor,Sat.  6 Jan. 2018,day
,,,,,,,,,,,,Not In List,Sat.  6 Jan. 2018,day
,,,,,,,,,,,,::unspecified::,Sat.  6 Jan. 2018,day
,,,,,,,,,,,,ACCT0106566,Sat.  6 Jan. 2018,day
,,,,,,,,,,,,ACCT0080490,Sat.  6 Jan. 2018,day
,,,,,,,,,,,,ACCT0065581,Sat.  6 Jan. 2018,day
,,,,,,,,,,,,ACCT0000737,Sat.  6 Jan. 2018,day
,,,,,,,,,,,,ACCT0004149,Sat.  6 Jan. 2018,day
,,,,,,,,,,,,ACCT0047511,Sat.  6 Jan. 2018,day
,,,,,,,,,,,,ACCT0009231,Sat.  6 Jan. 2018,day
,,,,,,,,,,,,ISP Visitor,Sun.  7 Jan. 2018,day
,,,,,,,,,,,,Not In List,Sun.  7 Jan. 2018,day
,,,,,,,,,,,,::unspecified::,Sun.  7 Jan. 2018,day
,,,,,,,,,,,,ACCT0106566,Sun.  7 Jan. 2018,day
,,,,,,,,,,,,ACCT0080490,Sun.  7 Jan. 2018,day
,,,,,,,,,,,,ACCT0065581,Sun.  7 Jan. 2018,day
,,,,,,,,,,,,ACCT0000737,Sun.  7 Jan. 2018,day
,,,,,,,,,,,,ACCT0004149,Sun.  7 Jan. 2018,day
,,,,,,,,,,,,ACCT0047511,Sun.  7 Jan. 2018,day
,,,,,,,,,,,,ACCT0009231,Sun.  7 Jan. 2018,day
,,,,,,,,,,,,ISP Visitor,Mon.  8 Jan. 2018,day
,,,,,,,,,,,,Not In List,Mon.  8 Jan. 2018,day
www.servicenow.com/success.html,1,1,1,0,0.05,0,0,0,1,1,3,::unspecified::,Mon.  8 Jan. 2018,day
,,,,,,,,,,,,ACCT0106566,Mon.  8 Jan. 2018,day
,,,,,,,,,,,,ACCT0080490,Mon.  8 Jan. 2018,day
,,,,,,,,,,,,ACCT0065581,Mon.  8 Jan. 2018,day
