item,Unique Visitors,Visits,Page Views,Bounces,Time Spent on Page (min),e89 Video Views,e17 Form Success,Form Submission Rate,Total Weekly Unique Visitors,Entries,Total Time Spent,Account Number,Date,Granularity
,,,,,,,,,,,,ISP Visitor,Mon.  1 Jan. 2018 - Sat.  6 Jan. 2018,week
,,,,,,,,,,,,Not In List,Mon.  1 Jan. 2018 - Sat.  6 Jan. 2018,week
www.servicenow.com/success.do,1,1,1,1,0,0,0,0,1,1,0,::unspecified::,Mon.  1 Jan. 2018 - Sat.  6 Jan. 2018,week
,,,,,,,,,,,,ACCT0004149,Mon.  1 Jan. 2018 - Sat.  6 Jan. 2018,week
,,,,,,,,,,,,ACCT0026735,Mon.  1 Jan. 2018 - Sat.  6 Jan. 2018,week
,,,,,,,,,,,,ACCT0024473,Mon.  1 Jan. 2018 - Sat.  6 Jan. 2018,week
,,,,,,,,,,,,ACCT0000119,Mon.  1 Jan. 2018 - Sat.  6 Jan. 2018,week
,,,,,,,,,,,,ACCT0007072,Mon.  1 Jan. 2018 - Sat.  6 Jan. 2018,week
,,,,,,,,,,,,ACCT0021217,Mon.  1 Jan. 2018 - Sat.  6 Jan. 2018,week
,,,,,,,,,,,,ACCT0024543,Mon.  1 Jan. 2018 - Sat.  6 Jan. 2018,week
www.servicenow.com/success.html,1,1,1,1,0,0,0,0,1,1,0,ISP Visitor,Sun.  7 Jan. 2018 - Sat. 13 Jan. 2018,week
www.servicenow.com/success/value-calculator-security-ops.html,3,3,4,2,0.01,0,0,0,4,2,1,Not In List,Sun.  7 Jan. 2018 - Sat. 13 Jan. 2018,week
www.servicenow.com/success.html,1,1,1,1,0,0,0,0,4,1,0,Not In List,Sun.  7 Jan. 2018 - Sat. 13 Jan. 2018,week
www.servicenow.com/success/value-calculator-it.html,1,1,1,0,27.28,0,0,0,4,1,1637,Not In List,Sun.  7 Jan. 2018 - Sat. 13 Jan. 2018,week
www.servicenow.com/success/value-calculator-csm.html,1,1,1,0,0.92,0,0,0,4,0,55,Not In List,Sun.  7 Jan. 2018 - Sat. 13 Jan. 2018,week
www.servicenow.com/success/value-calculator-intelligent-apps.html,1,1,1,0,0.02,0,0,0,4,0,1,Not In List,Sun.  7 Jan. 2018 - Sat. 13 Jan. 2018,week
www.servicenow.com/success/value-calculator-hr.html,1,1,1,0,0,0,0,0,4,0,0,Not In List,Sun.  7 Jan. 2018 - Sat. 13 Jan. 2018,week
www.servicenow.com/success.html,1,1,1,0,0.05,0,0,0,1,1,3,::unspecified::,Sun.  7 Jan. 2018 - Sat. 13 Jan. 2018,week
,,,,,,,,,,,,ACCT0004149,Sun.  7 Jan. 2018 - Sat. 13 Jan. 2018,week
,,,,,,,,,,,,ACCT0026735,Sun.  7 Jan. 2018 - Sat. 13 Jan. 2018,week
,,,,,,,,,,,,ACCT0024473,Sun.  7 Jan. 2018 - Sat. 13 Jan. 2018,week
,,,,,,,,,,,,ACCT0000119,Sun.  7 Jan. 2018 - Sat. 13 Jan. 2018,week
,,,,,,,,,,,,ACCT0007072,Sun.  7 Jan. 2018 - Sat. 13 Jan. 2018,week
,,,,,,,,,,,,ACCT0021217,Sun.  7 Jan. 2018 - Sat. 13 Jan. 2018,week
,,,,,,,,,,,,ACCT0024543,Sun.  7 Jan. 2018 - Sat. 13 Jan. 2018,week
www.servicenow.com/success/value-calculator-hr-form.html,2,2,3,0,0.86,0,0,0,3,1,103,ISP Visitor,Sun. 14 Jan. 2018 - Sat. 20 Jan. 2018,week
www.servicenow.com/success/value-calculator-intelligent-apps-form.html,2,2,2,0,0,0,0,0,3,0,0,ISP Visitor,Sun. 14 Jan. 2018 - Sat. 20 Jan. 2018,week
www.servicenow.com/success/value-calculator-security-ops-form.html,1,1,3,0,1.67,0,0,0,3,0,100,ISP Visitor,Sun. 14 Jan. 2018 - Sat. 20 Jan. 2018,week
www.servicenow.com/success/value-calculator-security-ops-form-1.html,1,1,1,0,0.25,0,0,0,3,0,15,ISP Visitor,Sun. 14 Jan. 2018 - Sat. 20 Jan. 2018,week
www.servicenow.com/success/value-calculator-it.html,4,5,5,4,4.81,0,0,0,10,5,1442,Not In List,Sun. 14 Jan. 2018 - Sat. 20 Jan. 2018,week
