ITEM,UNIQUE_VISITORS,VISITS,PAGE_VIEWS,BOUNCES,TIME_SPENT_ON_PAGE_(MIN),E89_VIDEO_VIEWS,E17_FORM_SUCCESS,FORM_SUBMISSIONS,TOTAL_WEEKLY_UNIQUE_VISITORS,ENTRIES,TOTAL_TIME_SPENT,ACCOUNT_NUMBER,START_DATE_OF_WEEK,GRANULARITY,SEGMENT_ID,GROUP,ETL_EXTRACT_DATE
www.servicenow.com/success.html,33,36,55,18,0.97,0,0,0,46,31,2102,ISP Visitor,5/1/2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/7/2019 12:50
www.servicenow.com/success/plan/it/cmdb-deployment.html,14,14,25,4,2.94,2,0,0,46,9,2466,ISP Visitor,5/1/2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/7/2019 12:50
www.servicenow.com/success/plan.html,6,6,18,0,0.71,0,0,0,46,0,254,ISP Visitor,5/1/2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/7/2019 12:50
www.servicenow.com/success/deploy.html,5,5,11,1,0.21,0,0,0,46,1,64,ISP Visitor,5/1/2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/7/2019 12:50
www.servicenow.com/success/optimize.html,3,3,7,0,7.42,0,0,0,46,0,1335,ISP Visitor,5/1/2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/7/2019 12:50
www.servicenow.com/success/plan/it/cmdb-deployment/stage2.html,3,3,6,0,0.85,0,0,0,46,0,153,ISP Visitor,5/1/2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/7/2019 12:50
www.servicenow.com/success/deploy/now/upgrade-servicenow-quicker.html,3,3,6,0,0.43,0,0,0,46,0,78,ISP Visitor,5/1/2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/7/2019 12:50
www.servicenow.com/success/plan/it/cmdb-deployment/stage3.html,3,3,5,0,0.09,0,0,0,46,0,16,ISP Visitor,5/1/2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/7/2019 12:50
www.servicenow.com/success/plan/it/cmdb-deployment/stage1.html,2,2,4,0,1.56,0,0,0,46,0,187,ISP Visitor,5/1/2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/7/2019 12:50
www.servicenow.com/success/deploy/now/upgrade-servicenow-quicker/stage1.html,2,2,3,0,0.13,0,0,0,46,0,16,ISP Visitor,5/1/2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/7/2019 12:50
www.servicenow.com/success.html,67,80,188,26,1.69,0,0,0,80,49,8131,Not In List,5/1/2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/7/2019 12:50
www.servicenow.com/success/plan/it/cmdb-deployment.html,19,19,35,5,1.22,2,0,0,80,6,1391,Not In List,5/1/2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/7/2019 12:50
www.servicenow.com/success/plan.html,18,18,46,0,1.07,0,0,0,80,0,1151,Not In List,5/1/2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/7/2019 12:50
www.servicenow.com/success/deploy.html,12,12,23,0,0.32,0,0,0,80,2,233,Not In List,5/1/2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/7/2019 12:50
www.servicenow.com/success/deploy/now/innovate-at-scale.html,7,10,11,2,0.33,0,0,0,80,3,196,Not In List,5/1/2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/7/2019 12:50
www.servicenow.com/success/deploy/now/upgrade-servicenow-quicker.html,7,8,13,2,3.29,0,0,0,80,3,1578,Not In List,5/1/2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/7/2019 12:50
www.servicenow.com/lpbp/plan-for-successful-cmdb.html,6,6,10,0,1.01,0,4,66.67,80,0,363,Not In List,5/1/2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/7/2019 12:50
www.servicenow.com/success/optimize.html,5,6,18,0,1.38,0,0,0,80,0,496,Not In List,5/1/2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/7/2019 12:50
www.servicenow.com/success/extend.html,5,5,8,1,0.58,0,0,0,80,1,173,Not In List,5/1/2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/7/2019 12:50
www.servicenow.com/success/plan/it/cmdb-deployment/stage1.html,4,6,7,0,0.64,0,0,0,80,1,232,Not In List,5/1/2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/7/2019 12:50
www.servicenow.com/success.html,15,15,20,6,0.24,0,0,0,19,15,217,::unspecified::,5/1/2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/7/2019 12:50
www.servicenow.com/success/deploy.html,1,2,2,2,0,0,0,0,19,2,0,::unspecified::,5/1/2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/7/2019 12:50
www.servicenow.com/success/value,1,1,2,0,0.7,0,0,0,19,1,42,::unspecified::,5/1/2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/7/2019 12:50
www.servicenow.com/success/plan/hr-knowledge-management.html,1,1,1,0,0.38,0,0,0,19,1,23,::unspecified::,5/1/2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/7/2019 12:50
www.servicenow.com/success/deploy/now/innovate-at-scale.html,1,1,1,0,0.05,0,0,0,19,1,3,::unspecified::,5/1/2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/7/2019 12:50
www.servicenow.com/,0,0,0,0,INF,0,0,INF,19,7,0,::unspecified::,5/1/2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/7/2019 12:50
www.servicenow.com/sucess.html,0,0,0,0,INF,0,0,INF,19,1,0,::unspecified::,5/1/2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/7/2019 12:50
www.servicenow.com/success/value-calculator-csm.html,0,0,0,0,INF,0,0,INF,19,1,0,::unspecified::,5/1/2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/7/2019 12:50
www.servicenow.com/success.html,3,3,3,3,0,0,0,0,3,3,0,ACCT0065581,5/1/2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/7/2019 12:50
,,,,,,,,,,,,ACCT0021317,5/1/2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/7/2019 12:50
,,,,,,,,,,,,ACCT0106566,5/1/2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/7/2019 12:50
,,,,,,,,,,,,ACCT0008833,5/1/2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/7/2019 12:50
,,,,,,,,,,,,ACCT0048703,5/1/2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/7/2019 12:50
,,,,,,,,,,,,ACCT0073335,5/1/2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/7/2019 12:50
,,,,,,,,,,,,ACCT0071663,5/1/2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/7/2019 12:50
www.servicenow.com/success/plan/it/cmdb-deployment.html,53,58,78,15,1.03,3,0,0,90,31,3595,ISP Visitor,5/2/2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/7/2019 12:50
www.servicenow.com/success.html,37,41,80,9,1.07,0,0,0,90,23,2642,ISP Visitor,5/2/2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/7/2019 12:50
www.servicenow.com/lpbp/plan-for-successful-cmdb.html,17,17,22,0,0.35,0,5,29.41,90,1,359,ISP Visitor,5/2/2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/7/2019 12:50
www.servicenow.com/success/deploy.html,8,8,13,0,0.35,0,0,0,90,0,170,ISP Visitor,5/2/2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/7/2019 12:50
www.servicenow.com/success/plan.html,7,8,21,0,3.91,0,0,0,90,0,1876,ISP Visitor,5/2/2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/7/2019 12:50
www.servicenow.com/success/optimize.html,4,4,5,0,0.25,0,0,0,90,0,59,ISP Visitor,5/2/2018,day,SUCCESS_PAGE,CUSTOMER_SUCCESS,1/7/2019 12:50
