item,Unique Visitors,Visits,Page Views,Bounce Rate,Time Spent on Page (min),e89 Video Views,e17 Form Success,Form Submission Rate,Account Number,Date,Granularity
www.servicenow.com/success.html,131,138,252,74.72527473,1.69,0,0,0,ISP Visitor,Mon. 23 Jul. 2018,day
www.servicenow.com/success/value-calculator-it.html,25,27,49,20,3.07,0,0,0,ISP Visitor,Mon. 23 Jul. 2018,day
www.servicenow.com/success/value-calculator-hr.html,17,18,57,12.5,1.96,0,0,0,ISP Visitor,Mon. 23 Jul. 2018,day
www.servicenow.com/success/plan/start-implementation.html,17,18,19,100,1.31,0,1,5.56,ISP Visitor,Mon. 23 Jul. 2018,day
www.servicenow.com/success/plan.html,15,15,50,0,0.72,0,0,0,ISP Visitor,Mon. 23 Jul. 2018,day
www.servicenow.com/success/deploy/now/performance-analytics.html,13,13,15,71.42857143,2.33,0,0,0,ISP Visitor,Mon. 23 Jul. 2018,day
www.servicenow.com/success/value-calculator-csm.html,11,11,23,100,0.67,0,0,0,ISP Visitor,Mon. 23 Jul. 2018,day
www.servicenow.com/success/deploy/now/upgrade-servicenow-quicker.html,10,13,16,100,2.08,0,0,0,ISP Visitor,Mon. 23 Jul. 2018,day
www.servicenow.com/success/plan/it/cmdb-deployment.html,7,7,16,0,6.62,4,0,0,ISP Visitor,Mon. 23 Jul. 2018,day
www.servicenow.com/success/optimize.html,7,8,12,0,0.76,0,0,0,ISP Visitor,Mon. 23 Jul. 2018,day
www.servicenow.com/success/value-calculator-it.html,25,27,49,20,3.07,0,0,0,Not In List,Mon. 23 Jul. 2018,day
www.servicenow.com/success/value-calculator-hr.html,17,18,57,12.5,1.96,0,0,0,Not In List,Mon. 23 Jul. 2018,day
www.servicenow.com/success/plan/start-implementation.html,17,18,19,100,1.31,0,1,5.56,Not In List,Mon. 23 Jul. 2018,day
www.servicenow.com/success/plan.html,15,15,50,0,0.72,0,0,0,Not In List,Mon. 23 Jul. 2018,day
www.servicenow.com/success/deploy/now/performance-analytics.html,13,13,15,71.42857143,2.33,0,0,0,Not In List,Mon. 23 Jul. 2018,day
www.servicenow.com/success/value-calculator-csm.html,11,11,23,100,0.67,0,0,0,Not In List,Mon. 23 Jul. 2018,day
www.servicenow.com/success/deploy/now/upgrade-servicenow-quicker.html,10,13,16,100,2.08,0,0,0,Not In List,Mon. 23 Jul. 2018,day
www.servicenow.com/success/plan/it/cmdb-deployment.html,7,7,16,0,6.62,4,0,0,Not In List,Mon. 23 Jul. 2018,day
www.servicenow.com/success/optimize.html,7,8,12,0,0.76,0,0,0,Not In List,Mon. 23 Jul. 2018,day
www.servicenow.com/success.html,100,112,201,40,0.95,0,0,0,Not In List,Mon. 23 Jul. 2018,day
www.servicenow.com/success/value-calculator-it.html,39,44,79,68.75,1.08,0,0,0,Not In List,Mon. 23 Jul. 2018,day
www.servicenow.com/success/plan.html,14,15,42,50,1.12,0,0,0,Not In List,Mon. 23 Jul. 2018,day
www.servicenow.com/success/value-calculator-hr.html,14,14,32,0,0.87,0,0,0,Not In List,Mon. 23 Jul. 2018,day
www.servicenow.com/success/deploy/now/performance-analytics.html,11,12,17,50,1.67,0,0,0,Not In List,Mon. 23 Jul. 2018,day
www.servicenow.com/success/deploy/now/upgrade-servicenow-quicker.html,11,14,22,44.44444444,2.51,0,0,0,Not In List,Mon. 23 Jul. 2018,day
www.servicenow.com/success/optimize.html,11,11,35,25,0.61,0,0,0,Not In List,Mon. 23 Jul. 2018,day
www.servicenow.com/success/value-calculator-csm.html,10,11,21,0,1.8,0,0,0,Not In List,Mon. 23 Jul. 2018,day
www.servicenow.com/success/plan/it/cmdb-deployment.html,9,10,11,50,0.54,0,0,0,Not In List,Mon. 23 Jul. 2018,day
www.servicenow.com/success/optimize/now/design-world-class-service-catalog.html,9,9,16,33.33333333,1.1,0,0,0,Not In List,Mon. 23 Jul. 2018,day
www.servicenow.com/success/value-calculator-hr.html,17,18,57,12.5,1.96,0,0,0,::unspecified::,Mon. 23 Jul. 2018,day
www.servicenow.com/success/plan/start-implementation.html,17,18,19,100,1.31,0,1,5.56,::unspecified::,Mon. 23 Jul. 2018,day
www.servicenow.com/success/plan.html,15,15,50,0,0.72,0,0,0,::unspecified::,Mon. 23 Jul. 2018,day
