,item,Unique Visitors,Visits,Page Views,Bounce Rate,Time Spent on Page (min),e89 Video Views,e17 Form Success,Form Submission Rate,Account Number
0,www.servicenow.com/success.html,131,138,252,74.72527473,1.69,0,0,0,ISP Visitor
1,www.servicenow.com/success/value-calculator-it.html,25,27,49,20,3.07,0,0,0,ISP Visitor
2,www.servicenow.com/success/value-calculator-hr.html,17,18,57,12.5,1.96,0,0,0,ISP Visitor
3,www.servicenow.com/success/plan/start-implementation.html,17,18,19,100,1.31,0,1,5.56,ISP Visitor
4,www.servicenow.com/success/plan.html,15,15,50,0,0.72,0,0,0,ISP Visitor
5,www.servicenow.com/success/deploy/now/performance-analytics.html,13,13,15,71.42857143,2.33,0,0,0,ISP Visitor
6,www.servicenow.com/success/value-calculator-csm.html,11,11,23,100,0.67,0,0,0,ISP Visitor
7,www.servicenow.com/success/deploy/now/upgrade-servicenow-quicker.html,10,13,16,100,2.08,0,0,0,ISP Visitor
8,www.servicenow.com/success/plan/it/cmdb-deployment.html,7,7,16,0,6.62,4,0,0,ISP Visitor
9,www.servicenow.com/success/optimize.html,7,8,12,0,0.76,0,0,0,ISP Visitor
10,www.servicenow.com/success/value-calculator-it.html,25,27,49,20,3.07,0,0,0,Not In List
11,www.servicenow.com/success/value-calculator-hr.html,17,18,57,12.5,1.96,0,0,0,Not In List
12,www.servicenow.com/success/plan/start-implementation.html,17,18,19,100,1.31,0,1,5.56,Not In List
13,www.servicenow.com/success/plan.html,15,15,50,0,0.72,0,0,0,Not In List
14,www.servicenow.com/success/deploy/now/performance-analytics.html,13,13,15,71.42857143,2.33,0,0,0,Not In List
15,www.servicenow.com/success/value-calculator-csm.html,11,11,23,100,0.67,0,0,0,Not In List
16,www.servicenow.com/success/deploy/now/upgrade-servicenow-quicker.html,10,13,16,100,2.08,0,0,0,Not In List
17,www.servicenow.com/success/plan/it/cmdb-deployment.html,7,7,16,0,6.62,4,0,0,Not In List
18,www.servicenow.com/success/optimize.html,7,8,12,0,0.76,0,0,0,Not In List
19,www.servicenow.com/success.html,100,112,201,40,0.95,0,0,0,Not In List
20,www.servicenow.com/success/value-calculator-it.html,39,44,79,68.75,1.08,0,0,0,Not In List
21,www.servicenow.com/success/plan.html,14,15,42,50,1.12,0,0,0,Not In List
22,www.servicenow.com/success/value-calculator-hr.html,14,14,32,0,0.87,0,0,0,Not In List
23,www.servicenow.com/success/deploy/now/performance-analytics.html,11,12,17,50,1.67,0,0,0,Not In List
24,www.servicenow.com/success/deploy/now/upgrade-servicenow-quicker.html,11,14,22,44.44444444,2.51,0,0,0,Not In List
25,www.servicenow.com/success/optimize.html,11,11,35,25,0.61,0,0,0,Not In List
26,www.servicenow.com/success/value-calculator-csm.html,10,11,21,0,1.8,0,0,0,Not In List
27,www.servicenow.com/success/plan/it/cmdb-deployment.html,9,10,11,50,0.54,0,0,0,Not In List
28,www.servicenow.com/success/optimize/now/design-world-class-service-catalog.html,9,9,16,33.33333333,1.1,0,0,0,Not In List
29,www.servicenow.com/success/value-calculator-hr.html,17,18,57,12.5,1.96,0,0,0,::unspecified::
30,www.servicenow.com/success/plan/start-implementation.html,17,18,19,100,1.31,0,1,5.56,::unspecified::
31,www.servicenow.com/success/plan.html,15,15,50,0,0.72,0,0,0,::unspecified::
32,www.servicenow.com/success/deploy/now/performance-analytics.html,13,13,15,71.42857143,2.33,0,0,0,::unspecified::
33,www.servicenow.com/success/value-calculator-csm.html,11,11,23,100,0.67,0,0,0,::unspecified::
34,www.servicenow.com/success/deploy/now/upgrade-servicenow-quicker.html,10,13,16,100,2.08,0,0,0,::unspecified::
35,www.servicenow.com/success/plan/it/cmdb-deployment.html,7,7,16,0,6.62,4,0,0,::unspecified::
36,www.servicenow.com/success/optimize.html,7,8,12,0,0.76,0,0,0,::unspecified::
37,www.servicenow.com/success.html,100,112,201,40,0.95,0,0,0,::unspecified::
38,www.servicenow.com/success/value-calculator-it.html,39,44,79,68.75,1.08,0,0,0,::unspecified::
39,www.servicenow.com/success/plan.html,14,15,42,50,1.12,0,0,0,::unspecified::
40,www.servicenow.com/success/value-calculator-hr.html,14,14,32,0,0.87,0,0,0,::unspecified::
41,www.servicenow.com/success/deploy/now/performance-analytics.html,11,12,17,50,1.67,0,0,0,::unspecified::
42,www.servicenow.com/success/deploy/now/upgrade-servicenow-quicker.html,11,14,22,44.44444444,2.51,0,0,0,::unspecified::
43,www.servicenow.com/success/optimize.html,11,11,35,25,0.61,0,0,0,::unspecified::
44,www.servicenow.com/success/value-calculator-csm.html,10,11,21,0,1.8,0,0,0,::unspecified::
45,www.servicenow.com/success/plan/it/cmdb-deployment.html,9,10,11,50,0.54,0,0,0,::unspecified::
46,www.servicenow.com/success/optimize/now/design-world-class-service-catalog.html,9,9,16,33.33333333,1.1,0,0,0,::unspecified::
47,www.servicenow.com/success.html,13,13,18,20,0.42,0,0,0,::unspecified::
48,www.servicenow.com/success/value-calculator-it.html,8,8,19,20,0.84,0,0,0,::unspecified::
49,www.servicenow.com/success/value-calculator-csm.html,7,7,9,100,0.16,0,0,0,::unspecified::
50,www.servicenow.com/success/optimize/now/design-world-class-service-catalog.html,3,3,3,100,0,0,0,0,::unspecified::
51,www.servicenow.com/success/deploy/now/cmdb-discovery.html,3,3,3,66.66666667,0.01,0,0,0,::unspecified::
52,www.servicenow.com/success/plan/start-implementation.html,2,2,2,100,0,0,0,0,::unspecified::
53,www.servicenow.com/success/value-calculator-it-form.html,1,1,1,100,0,0,0,0,::unspecified::
54,www.servicenow.com/success/deploy/now/drive-adoption.html,1,1,1,100,0,0,0,0,::unspecified::
55,www.servicenow.com/success/deploy/now/performance-analytics.html,1,1,1,0,0.35,0,0,0,::unspecified::
56,www.servicenow.com/success/plan/start-implementation/stage1.html,1,1,1,0,0.07,0,0,0,::unspecified::
57,www.servicenow.com/success/plan/start-implementation.html,17,18,19,100,1.31,0,1,5.56,ACCT0065581
58,www.servicenow.com/success/plan.html,15,15,50,0,0.72,0,0,0,ACCT0065581
59,www.servicenow.com/success/deploy/now/performance-analytics.html,13,13,15,71.42857143,2.33,0,0,0,ACCT0065581
60,www.servicenow.com/success/value-calculator-csm.html,11,11,23,100,0.67,0,0,0,ACCT0065581
61,www.servicenow.com/success/deploy/now/upgrade-servicenow-quicker.html,10,13,16,100,2.08,0,0,0,ACCT0065581
62,www.servicenow.com/success/plan/it/cmdb-deployment.html,7,7,16,0,6.62,4,0,0,ACCT0065581
63,www.servicenow.com/success/optimize.html,7,8,12,0,0.76,0,0,0,ACCT0065581
64,www.servicenow.com/success.html,100,112,201,40,0.95,0,0,0,ACCT0065581
65,www.servicenow.com/success/value-calculator-it.html,39,44,79,68.75,1.08,0,0,0,ACCT0065581
66,www.servicenow.com/success/plan.html,14,15,42,50,1.12,0,0,0,ACCT0065581
67,www.servicenow.com/success/value-calculator-hr.html,14,14,32,0,0.87,0,0,0,ACCT0065581
68,www.servicenow.com/success/deploy/now/performance-analytics.html,11,12,17,50,1.67,0,0,0,ACCT0065581
