item,Unique Visitors,Visits,Page Views,Bounces,Time Spent on Page (min),e89 Video Views,e17 Form Success,Form Submission Rate,Total Weekly Unique Visitors,Account Number,Date,Granularity
www.servicenow.com/success/value-calculator-it.html,39,44,79,11,1.08,0,0,0,58,Not In List,Mon. 23 Jul. 2018,day
www.servicenow.com/success/value-calculator-hr.html,14,14,32,0,0.87,0,0,0,58,Not In List,Mon. 23 Jul. 2018,day
www.servicenow.com/success/value-calculator-csm.html,10,11,21,0,1.8,0,0,0,58,Not In List,Mon. 23 Jul. 2018,day
www.servicenow.com/success/value-calculator-security-ops.html,7,7,16,0,0.71,0,0,0,58,Not In List,Mon. 23 Jul. 2018,day
www.servicenow.com/success/value-calculator-it-form-1.html,5,5,9,0,0.6,0,1,20,58,Not In List,Mon. 23 Jul. 2018,day
www.servicenow.com/success/value-calculator-intelligent-apps.html,4,5,16,0,4.03,0,0,0,58,Not In List,Mon. 23 Jul. 2018,day
www.servicenow.com/success/value-calculator-hr-form-1.html,3,3,4,1,1.91,0,0,0,58,Not In List,Mon. 23 Jul. 2018,day
www.servicenow.com/success/value-calculator-intelligent-apps-form-1.html,2,2,5,0,2.33,0,2,100,58,Not In List,Mon. 23 Jul. 2018,day
www.servicenow.com/success/value-calculator-it.html,25,27,49,1,3.07,0,0,0,48,ISP Visitor,Mon. 23 Jul. 2018,day
www.servicenow.com/success/value-calculator-hr.html,17,18,57,1,1.96,0,0,0,48,ISP Visitor,Mon. 23 Jul. 2018,day
www.servicenow.com/success/value-calculator-csm.html,11,11,23,4,0.67,0,0,0,48,ISP Visitor,Mon. 23 Jul. 2018,day
www.servicenow.com/success/value-calculator-hr-form-1.html,6,6,18,0,2.28,0,8,133.33,48,ISP Visitor,Mon. 23 Jul. 2018,day
www.servicenow.com/success/value-calculator-it-form-1.html,4,5,8,0,7.04,0,2,40,48,ISP Visitor,Mon. 23 Jul. 2018,day
www.servicenow.com/success/value-calculator-intelligent-apps.html,2,2,2,1,0.07,0,0,0,48,ISP Visitor,Mon. 23 Jul. 2018,day
www.servicenow.com/success/value-calculator-security-ops.html,2,2,2,0,0.01,0,0,0,48,ISP Visitor,Mon. 23 Jul. 2018,day
www.servicenow.com/success/value-calculator-it.html,8,8,19,1,0.84,0,0,0,15,::unspecified::,Mon. 23 Jul. 2018,day
www.servicenow.com/success/value-calculator-csm.html,7,7,9,6,0.16,0,0,0,15,::unspecified::,Mon. 23 Jul. 2018,day
www.servicenow.com/success/value-calculator-it-form.html,1,1,1,1,0,0,0,0,15,::unspecified::,Mon. 23 Jul. 2018,day
www.servicenow.com/success/value-calculator-it-form-1.html,1,1,1,0,0.2,0,0,0,15,::unspecified::,Mon. 23 Jul. 2018,day
www.servicenow.com/success/value-calculator-security-ops.html,1,1,1,0,0,0,0,0,15,::unspecified::,Mon. 23 Jul. 2018,day
www.servicenow.com/success/value-calculator-hr.html,1,1,1,0,0,0,0,0,1,ACCT0004916,Mon. 23 Jul. 2018,day
www.servicenow.com/success/value-calculator-it.html,2,2,4,0,1.99,0,0,0,2,ACCT0001406,Mon. 23 Jul. 2018,day
,,,,,,,,,,ACCT0065581,Mon. 23 Jul. 2018,day
,,,,,,,,,,ACCT0000069,Mon. 23 Jul. 2018,day
www.servicenow.com/success/value-calculator-csm.html,1,1,3,0,4.17,0,0,0,1,ACCT0102579,Mon. 23 Jul. 2018,day
,,,,,,,,,,ACCT0015457,Mon. 23 Jul. 2018,day
,,,,,,,,,,ACCT0037228,Mon. 23 Jul. 2018,day
www.servicenow.com/success/value-calculator-it.html,108,117,258,34,2.64,0,1,0.85,132,Not In List,Tue. 24 Jul. 2018,day
www.servicenow.com/success/value-calculator-hr.html,20,20,59,0,1.65,0,0,0,132,Not In List,Tue. 24 Jul. 2018,day
www.servicenow.com/success/value-calculator-csm.html,19,21,59,0,0.86,0,0,0,132,Not In List,Tue. 24 Jul. 2018,day
www.servicenow.com/success/value-calculator-security-ops.html,15,15,29,1,1.54,0,0,0,132,Not In List,Tue. 24 Jul. 2018,day
www.servicenow.com/success/value-calculator-it-form-1.html,8,8,14,0,1.45,0,4,50,132,Not In List,Tue. 24 Jul. 2018,day
www.servicenow.com/success/value-calculator-hr-form-1.html,6,6,14,1,2.84,0,5,83.33,132,Not In List,Tue. 24 Jul. 2018,day
