item,Unique Visitors,Visits,Page Views,Bounce Rate,Time Spent on Page (min),e89 Video Views,e17 Form Success,Form Submission Rate,Total Weekly Unique Visitors,Account Number,Date,Granularity
www.servicenow.com/success.html,137,159,422,41.55844156,1.72,0,0,0,304,Not In List,Mon. 30 Jul. 2018,day
www.servicenow.com/success/value-calculator-it.html,56,62,141,32.14285714,2.74,0,0,0,304,Not In List,Mon. 30 Jul. 2018,day
www.servicenow.com/success/plan/start-implementation.html,30,35,66,66.66666667,4.6,0,0,0,304,Not In List,Mon. 30 Jul. 2018,day
www.servicenow.com/lpbp/plan-for-successful-cmdb.html,24,24,102,26.08695652,3.83,0,67,279.17,304,Not In List,Mon. 30 Jul. 2018,day
www.servicenow.com/success/plan.html,24,29,70,0,1.14,0,0,0,304,Not In List,Mon. 30 Jul. 2018,day
www.servicenow.com/success/value-calculator-hr.html,18,22,60,0,2.12,0,0,0,304,Not In List,Mon. 30 Jul. 2018,day
www.servicenow.com/success/value-calculator-csm.html,16,16,42,33.33333333,1.7,0,0,0,304,Not In List,Mon. 30 Jul. 2018,day
www.servicenow.com/success/plan/it/cmdb-deployment.html,15,18,23,25,1.18,1,0,0,304,Not In List,Mon. 30 Jul. 2018,day
www.servicenow.com/success/deploy.html,15,15,46,0,0.53,0,0,0,304,Not In List,Mon. 30 Jul. 2018,day
www.servicenow.com/success/deploy/now/performance-analytics.html,11,11,15,62.5,2.52,0,0,0,304,Not In List,Mon. 30 Jul. 2018,day
www.servicenow.com/success.html,82,86,146,60.46511628,1.16,0,2,2.33,232,ISP Visitor,Mon. 30 Jul. 2018,day
www.servicenow.com/success/value-calculator-it.html,50,51,89,72,1.04,0,0,0,232,ISP Visitor,Mon. 30 Jul. 2018,day
www.servicenow.com/lpbp/plan-for-successful-cmdb.html,27,28,37,76.92307692,0.38,0,3,10.71,232,ISP Visitor,Mon. 30 Jul. 2018,day
www.servicenow.com/success/plan/start-implementation.html,17,19,21,60,0.69,0,0,0,232,ISP Visitor,Mon. 30 Jul. 2018,day
www.servicenow.com/success/plan.html,15,15,33,INF,1.7,0,0,0,232,ISP Visitor,Mon. 30 Jul. 2018,day
www.servicenow.com/success/plan/it/cmdb-deployment.html,14,15,22,87.5,1.03,2,1,6.67,232,ISP Visitor,Mon. 30 Jul. 2018,day
www.servicenow.com/success/deploy/now/performance-analytics.html,13,13,13,46.15384615,2.89,0,0,0,232,ISP Visitor,Mon. 30 Jul. 2018,day
www.servicenow.com/success/value-calculator-hr.html,9,9,16,0,0.25,0,0,0,232,ISP Visitor,Mon. 30 Jul. 2018,day
www.servicenow.com/success/deploy.html,8,8,17,0,2.67,0,0,0,232,ISP Visitor,Mon. 30 Jul. 2018,day
www.servicenow.com/success/value-calculator-csm.html,7,7,13,66.66666667,1.26,0,0,0,232,ISP Visitor,Mon. 30 Jul. 2018,day
www.servicenow.com/success/value-calculator-it.html,10,10,13,30,0.83,0,0,0,37,::unspecified::,Mon. 30 Jul. 2018,day
www.servicenow.com/success.html,9,9,10,88.88888889,0.04,0,0,0,37,::unspecified::,Mon. 30 Jul. 2018,day
www.servicenow.com/lpbp/plan-for-successful-cmdb.html,5,5,5,100,0,0,0,0,37,::unspecified::,Mon. 30 Jul. 2018,day
www.servicenow.com/success/deploy/now/performance-analytics.html,4,4,4,66.66666667,0.23,0,0,0,37,::unspecified::,Mon. 30 Jul. 2018,day
www.servicenow.com/success/value-calculator-hr.html,2,2,4,0,0.54,0,0,0,37,::unspecified::,Mon. 30 Jul. 2018,day
www.servicenow.com/success/pillars/enterprise-intro.html,1,1,1,100,0,0,0,0,37,::unspecified::,Mon. 30 Jul. 2018,day
www.servicenow.com/success/plan/it/cmdb-deployment.html,1,1,1,100,0,0,0,0,37,::unspecified::,Mon. 30 Jul. 2018,day
www.servicenow.com/success/deploy/now/upgrade-servicenow-quicker.html,1,1,1,100,0,0,0,0,37,::unspecified::,Mon. 30 Jul. 2018,day
www.servicenow.com/success/plan/it/cmdb-deployment/stage2.html,1,1,1,100,0,0,0,0,37,::unspecified::,Mon. 30 Jul. 2018,day
www.servicenow.com/success/deploy/now/cmdb-discovery.html,1,1,1,100,0,0,0,0,37,::unspecified::,Mon. 30 Jul. 2018,day
www.servicenow.com/success/plan/it/cmdb-deployment.html,3,4,4,33.33333333,3.57,1,0,0,3,ACCT0000841,Mon. 30 Jul. 2018,day
www.servicenow.com/lpbp/plan-for-successful-cmdb.html,2,3,9,0,2.89,0,4,133.33,3,ACCT0000841,Mon. 30 Jul. 2018,day
www.servicenow.com/success/plan/it/cmdb-deployment/stage1.html,1,1,1,0,1.3,0,0,0,3,ACCT0000841,Mon. 30 Jul. 2018,day
