,index,breakdown,breakdownTotal,name,e91 Video Completes,e17 Form Success,Granularity
0,0,"[{'name': 'ISP Visitor', 'url': '', 'counts': ['2', '0'], 'breakdown': [{'name': 'ISP Visitor', 'url': '', 'counts': ['2', '0']}], 'breakdownTotal': ['2', '0']}]","['2', '0']",www.servicenow.com/success/plan/it/cmdb-deployment.html,2,0,Mon. 23 Jul. 2018
1,1,"[{'name': 'Not In List', 'url': '', 'counts': ['0', '5'], 'breakdown': [{'name': 'ServiceNow', 'url': '', 'counts': ['0', '2']}, {'name': 'Sterling Jewelers Inc', 'url': '', 'counts': ['0', '2']}, {'name': 'Remedy', 'url': '', 'counts': ['0', '1']}], 'breakdownTotal': ['0', '5']}, {'name': 'ACCT0003100', 'url': '', 'counts': ['0', '2'], 'breakdown': [{'name': 'SAS Institute Inc', 'url': '', 'counts': ['0', '2']}], 'breakdownTotal': ['0', '2']}, {'name': 'ISP Visitor', 'url': '', 'counts': ['0', '1'], 'breakdown': [{'name': 'ISP Visitor', 'url': '', 'counts': ['0', '1']}], 'breakdownTotal': ['0', '1']}, {'name': 'ACCT0080398', 'url': '', 'counts': ['0', '1'], 'breakdown': [{'name': 'C4 Holding BV', 'url': '', 'counts': ['0', '1']}], 'breakdownTotal': ['0', '1']}]","['0', '9']",www.servicenow.com/lpbp/plan-for-successful-cmdb.html,0,9,Mon. 23 Jul. 2018
2,2,"[{'name': 'ISP Visitor', 'url': '', 'counts': ['0', '8'], 'breakdown': [{'name': 'ISP Visitor', 'url': '', 'counts': ['0', '8']}], 'breakdownTotal': ['0', '8']}]","['0', '8']",www.servicenow.com/success/value-calculator-hr-form-1.html,0,8,Mon. 23 Jul. 2018
3,3,"[{'name': 'ISP Visitor', 'url': '', 'counts': ['0', '5'], 'breakdown': [{'name': 'ISP Visitor', 'url': '', 'counts': ['0', '5']}], 'breakdownTotal': ['0', '5']}, {'name': 'ACCT0057556', 'url': '', 'counts': ['0', '1'], 'breakdown': [{'name': 'Seattle Public Schools', 'url': '', 'counts': ['0', '1']}], 'breakdownTotal': ['0', '1']}, {'name': 'Not In List', 'url': '', 'counts': ['0', '1'], 'breakdown': [{'name': 'ServiceNow', 'url': '', 'counts': ['0', '1']}], 'breakdownTotal': ['0', '1']}]","['0', '7']",www.servicenow.com/lpbp/where-to-start-the-implementation-with-servicenow.html,0,7,Mon. 23 Jul. 2018
4,4,"[{'name': 'ACCT0019679', 'url': '', 'counts': ['0', '5'], 'breakdown': [{'name': 'US Department of Defense', 'url': '', 'counts': ['0', '5']}], 'breakdownTotal': ['0', '5']}, {'name': 'Not In List', 'url': '', 'counts': ['0', '1'], 'breakdown': [{'name': 'Symantec Ltd', 'url': '', 'counts': ['0', '1']}], 'breakdownTotal': ['0', '1']}]","['0', '6']",www.servicenow.com/lpbp/integrate-your-tenable-securitycenter-with-servicenow.html,0,6,Mon. 23 Jul. 2018
5,5,"[{'name': 'ISP Visitor', 'url': '', 'counts': ['0', '2'], 'breakdown': [{'name': 'ISP Visitor', 'url': '', 'counts': ['0', '2']}], 'breakdownTotal': ['0', '2']}, {'name': 'ACCT0000257', 'url': '', 'counts': ['0', '2'], 'breakdown': [{'name': 'New York Life Insurance Company', 'url': '', 'counts': ['0', '2']}], 'breakdownTotal': ['0', '2']}, {'name': 'ACCT0026532', 'url': '', 'counts': ['0', '1'], 'breakdown': [{'name': 'Datacentrix Holdings Ltd', 'url': '', 'counts': ['0', '1']}], 'breakdownTotal': ['0', '1']}, {'name': 'Not In List', 'url': '', 'counts': ['0', '1'], 'breakdown': [{'name': 'Symantec Australia', 'url': '', 'counts': ['0', '1']}], 'breakdownTotal': ['0', '1']}]","['0', '6']",www.servicenow.com/success/value-calculator-it-form-1.html,0,6,Mon. 23 Jul. 2018
6,6,"[{'name': 'ACCT0048703', 'url': '', 'counts': ['0', '2'], 'breakdown': [{'name': 'HCL America Inc', 'url': '', 'counts': ['0', '2']}], 'breakdownTotal': ['0', '2']}, {'name': 'ACCT0076549', 'url': '', 'counts': ['0', '2'], 'breakdown': [{'name': 'Ventech Solutions', 'url': '', 'counts': ['0', '2']}], 'breakdownTotal': ['0', '2']}, {'name': 'ISP Visitor', 'url': '', 'counts': ['0', '1'], 'breakdown': [{'name': 'ISP Visitor', 'url': '', 'counts': ['0', '1']}], 'breakdownTotal': ['0', '1']}, {'name': 'ACCT0001841', 'url': '', 'counts': ['0', '1'], 'breakdown': [{'name': 'Yale University', 'url': '', 'counts': ['0', '1']}], 'breakdownTotal': ['0', '1']}]","['0', '6']",www.servicenow.com/lpbp/get-started-with-performance-analytics.html,0,6,Mon. 23 Jul. 2018
7,7,"[{'name': 'ISP Visitor', 'url': '', 'counts': ['0', '4'], 'breakdown': [{'name': 'ISP Visitor', 'url': '', 'counts': ['0', '4']}], 'breakdownTotal': ['0', '4']}]","['0', '4']",www.servicenow.com/lpbp/populate-and-maintain-your-cmdb-with-servicenow-discovery.html,0,4,Mon. 23 Jul. 2018
8,8,"[{'name': 'Not In List', 'url': '', 'counts': ['0', '2'], 'breakdown': [{'name': 'ServiceNow', 'url': '', 'counts': ['0', '2']}], 'breakdownTotal': ['0', '2']}]","['0', '2']",www.servicenow.com/lpbp/hr-knowledge-management.html,0,2,Mon. 23 Jul. 2018
9,9,"[{'name': 'Not In List', 'url': '', 'counts': ['0', '2'], 'breakdown': [{'name': 'Appian Corporation', 'url': '', 'counts': ['0', '1']}, {'name': 'Full Service Computing Corporation', 'url': '', 'counts': ['0', '1']}], 'breakdownTotal': ['0', '2']}]","['0', '2']",www.servicenow.com/success/value-calculator-intelligent-apps-form-1.html,0,2,Mon. 23 Jul. 2018
