,index,name,name,e91 Video Completes,e17 Form Success,Granularity
0,0,www.servicenow.com/success/plan/it/cmdb-deployment.html,ISP Visitor,2,0,Mon. 23 Jul. 2018
1,1,www.servicenow.com/lpbp/plan-for-successful-cmdb.html,Not In List,0,9,Mon. 23 Jul. 2018
2,2,www.servicenow.com/success/value-calculator-hr-form-1.html,ACCT0019679,0,8,Mon. 23 Jul. 2018
3,3,www.servicenow.com/lpbp/where-to-start-the-implementation-with-servicenow.html,ACCT0048703,0,7,Mon. 23 Jul. 2018
4,4,www.servicenow.com/lpbp/integrate-your-tenable-securitycenter-with-servicenow.html,ACCT0003100,0,6,Mon. 23 Jul. 2018
5,5,www.servicenow.com/success/value-calculator-it-form-1.html,ACCT0000257,0,6,Mon. 23 Jul. 2018
6,6,www.servicenow.com/lpbp/get-started-with-performance-analytics.html,ACCT0076549,0,6,Mon. 23 Jul. 2018
7,7,www.servicenow.com/lpbp/populate-and-maintain-your-cmdb-with-servicenow-discovery.html,ACCT0033501,0,4,Mon. 23 Jul. 2018
8,8,www.servicenow.com/lpbp/hr-knowledge-management.html,ACCT0026532,0,2,Mon. 23 Jul. 2018
9,9,www.servicenow.com/success/value-calculator-intelligent-apps-form-1.html,ACCT0080398,0,2,Mon. 23 Jul. 2018
